Titel,Cases
Geneva,7
Vaud,7
Basel City,3
Aargau,7
Zurich,13
Ticino,15
Graubünden,9
Valais,2
Basel Country,3
Bern,4
Fribourg,4
Zug,1
Schwyz,3
Neuchâtel,1
St. Gallen,1
