Titel,Cases,Deaths
Aargau,878,18
Appenzell Ausserrhoden,78,3
Appenzell Innerrhoden,24,0
Bern,1456,49
Basel City,893,34
Basel Country,749,24
Fribourg,859,55
Geneva,4371,160
Glarus,92,2
Graubünden,732,35
Jura,184,2
Lucerne,580,10
Neuchâtel,588,39
Nidwalden,104,1
Obwalden,62,0
St. Gallen,657,21
Schaffhausen,57,1
Schwyz,251,12
Solothurn,321,7
Ticino,2900,251
Thurgau,292,8
Uri,78,4
Valais,1642,88
Vaud,4649,233
Zurich,3021,76
Zug,170,5
