Titel,Cases,Deaths
Aargau,822,17
Appenzell Ausserrhoden,74,3
Appenzell Innerrhoden,24,0
Bern,1335,38
Basel City,846,33
Basel Country,711,21
Fribourg,786,46
Geneva,3993,118
Glarus,67,2
Graubünden,680,35
Jura,174,0
Lucerne,542,9
Neuchâtel,492,30
Nidwalden,96,0
Obwalden,61,0
St. Gallen,604,16
Schaffhausen,52,1
Schwyz,213,9
Solothurn,282,5
Ticino,2714,219
Thurgau,255,8
Uri,72,4
Valais,1525,73
Vaud,4315,185
Zurich,2898,62
Zug,165,3
