Titel,Cases,Deaths
Aargau,929,22
Appenzell Ausserrhoden,79,3
Appenzell Innerrhoden,24,0
Bern,1489,53
Basel City,909,36
Basel Country,768,25
Fribourg,890,63
Geneva,4438,172
Glarus,105,2
Graubünden,740,37
Jura,188,2
Lucerne,596,12
Neuchâtel,602,48
Nidwalden,106,2
Obwalden,64,0
St. Gallen,676,23
Schaffhausen,59,1
Schwyz,261,13
Solothurn,329,8
Ticino,2927,263
Thurgau,302,11
Uri,78,4
Valais,1682,95
Vaud,4741,254
Zurich,3114,85
Zug,171,5
