Titel,Cases,Deaths
Aargau,175,1
Appenzell Ausserrhoden,22,1
Appenzell Innerrhoden,3,0
Bern,377,3
Basel City,299,5
Basel Country,282,3
Fribourg,136,3
Geneva,1048,8
Glarus,21,0
Graubünden,213,1
Jura,49,0
Lucerne,92,0
Neuchâtel,177,2
Nidwalden,33,0
Obwalden,19,0
St. Gallen,137,0
Schaffhausen,17,0
Schwyz,56,0
Solothurn,58,0
Ticino,918,28
Thurgau,56,0
Uri,12,0
Valais,359,9
Vaud,1448,12
Zurich,773,3
Zug,48,0
