Titel,Cases,Deaths
Aargau,1149,37
Appenzell Ausserrhoden,97,3
Appenzell Innerrhoden,25,0
Bern,1832,92
Basel City,966,50
Basel Country,836,34
Fribourg,1126,83
Geneva,4971,260
Glarus,125,12
Graubünden,820,45
Jura,202,7
Lucerne,713,19
Neuchâtel,705,77
Nidwalden,115,3
Obwalden,79,0
St. Gallen,798,35
Schaffhausen,76,6
Schwyz,306,23
Solothurn,407,15
Ticino,3265,340
Thurgau,374,17
Uri,92,7
Valais,1905,146
Vaud,5363,389
Zurich,3553,125
Zug,193,8
