Titel,Cases,Deaths
Aargau,1141,36
Appenzell Ausserrhoden,97,3
Appenzell Innerrhoden,25,0
Bern,1804,90
Basel City,962,50
Basel Country,830,33
Fribourg,1107,80
Geneva,4958,254
Glarus,125,12
Graubünden,816,45
Jura,201,7
Lucerne,709,18
Neuchâtel,689,76
Nidwalden,113,3
Obwalden,79,0
St. Gallen,795,33
Schaffhausen,75,6
Schwyz,305,23
Solothurn,403,15
Ticino,3245,331
Thurgau,374,17
Uri,91,7
Valais,1897,146
Vaud,5335,388
Zurich,3526,124
Zug,191,8
