Titel,Cases,Deaths
Aargau,1099,33
Appenzell Ausserrhoden,94,3
Appenzell Innerrhoden,25,0
Bern,1741,83
Basel City,946,49
Basel Country,822,30
Fribourg,1057,78
Geneva,4785,244
Glarus,122,9
Graubünden,809,45
Jura,197,7
Lucerne,687,17
Neuchâtel,676,74
Nidwalden,111,3
Obwalden,78,0
St. Gallen,776,33
Schaffhausen,74,6
Schwyz,295,20
Solothurn,384,15
Ticino,3191,318
Thurgau,363,17
Uri,85,5
Valais,1853,136
Vaud,5227,364
Zurich,3462,119
Zug,185,8
