Titel,Cases,Deaths
Aargau,364,3
Appenzell Ausserrhoden,18,2
Appenzell Innerrhoden,13,0
Bern,798,10
Basel City,609,15
Basel Country,511,6
Fribourg,442,16
Geneva,2283,32
Glarus,47,1
Graubünden,409,9
Jura,118,0
Lucerne,339,5
Neuchâtel,313,6
Nidwalden,59,0
Obwalden,37,0
St. Gallen,365,5
Schaffhausen,40,0
Schwyz,128,2
Solothurn,190,2
Ticino,1837,93
Thurgau,138,1
Uri,50,0
Valais,964,21
Vaud,2936,55
Zurich,1758,15
Zug,101,1
