Titel,Cases,Deaths
Aargau,1133,36
Appenzell Ausserrhoden,97,3
Appenzell Innerrhoden,25,0
Bern,1796,90
Basel City,958,50
Basel Country,828,32
Fribourg,1102,79
Geneva,4949,253
Glarus,122,12
Graubünden,817,45
Jura,198,7
Lucerne,705,18
Neuchâtel,687,76
Nidwalden,113,3
Obwalden,78,0
St. Gallen,793,33
Schaffhausen,75,6
Schwyz,305,21
Solothurn,400,15
Ticino,3238,326
Thurgau,372,17
Uri,91,6
Valais,1882,141
Vaud,5324,384
Zurich,3495,123
Zug,190,8
