Titel,Cases,Deaths
Aargau,364,3
Appenzell Ausserrhoden,44,2
Appenzell Innerrhoden,11,0
Bern,718,8
Basel City,534,13
Basel Country,466,5
Fribourg,369,15
Geneva,1743,21
Glarus,44,0
Graubünden,409,9
Jura,99,0
Lucerne,287,3
Neuchâtel,287,5
Nidwalden,54,0
Obwalden,30,0
St. Gallen,306,2
Schaffhausen,36,0
Schwyz,119,1
Solothurn,157,1
Ticino,1688,76
Thurgau,117,1
Uri,40,0
Valais,808,20
Vaud,2532,38
Zurich,1578,11
Zug,94,0
