Titel,Cases,Deaths
Aargau,912,19
Appenzell Ausserrhoden,79,3
Appenzell Innerrhoden,24,0
Bern,1470,49
Basel City,899,34
Basel Country,755,25
Fribourg,879,57
Geneva,4390,167
Glarus,105,2
Graubünden,735,35
Jura,185,2
Lucerne,589,11
Neuchâtel,590,45
Nidwalden,105,1
Obwalden,64,0
St. Gallen,664,21
Schaffhausen,57,1
Schwyz,258,13
Solothurn,325,8
Ticino,2912,258
Thurgau,296,10
Uri,78,4
Valais,1664,90
Vaud,4684,237
Zurich,3067,78
Zug,171,5
