Titel,Cases,Deaths
Aargau,626,12
Appenzell Ausserrhoden,66,3
Appenzell Innerrhoden,21,0
Bern,1106,28
Basel City,771,24
Basel Country,656,19
Fribourg,638,37
Geneva,3384,83
Glarus,59,2
Graubünden,598,27
Jura,153,0
Lucerne,469,7
Neuchâtel,433,24
Nidwalden,80,0
Obwalden,56,0
St. Gallen,504,9
Schaffhausen,47,1
Schwyz,168,5
Solothurn,250,3
Ticino,2422,165
Thurgau,208,5
Uri,66,1
Valais,1319,51
Vaud,4035,138
Zurich,2492,41
Zug,146,2
