Titel,Cases,Deaths
Aargau,878,18
Appenzell Ausserrhoden,77,3
Appenzell Innerrhoden,24,0
Bern,1419,44
Basel City,866,33
Basel Country,736,22
Fribourg,834,53
Geneva,4357,153
Glarus,91,2
Graubünden,728,35
Jura,183,2
Lucerne,568,10
Neuchâtel,575,39
Nidwalden,103,0
Obwalden,62,0
St. Gallen,641,18
Schaffhausen,55,1
Schwyz,249,10
Solothurn,306,6
Ticino,2818,229
Thurgau,274,8
Uri,75,4
Valais,1592,82
Vaud,4560,228
Zurich,2987,66
Zug,168,4
