Titel,Cases,Deaths
Aargau,1145,37
Appenzell Ausserrhoden,97,3
Appenzell Innerrhoden,25,0
Bern,1809,90
Basel City,965,50
Basel Country,833,33
Fribourg,1115,80
Geneva,4958,254
Glarus,125,12
Graubünden,818,45
Jura,201,7
Lucerne,710,19
Neuchâtel,697,77
Nidwalden,115,3
Obwalden,79,0
St. Gallen,795,33
Schaffhausen,76,6
Schwyz,305,23
Solothurn,406,15
Ticino,3253,332
Thurgau,374,17
Uri,92,7
Valais,1899,146
Vaud,5341,389
Zurich,3536,124
Zug,192,8
