Lat,Lon,Titel,Cases
46.3356506,8.753706,Ticino,1
46.2017559,6.1466014,Geneva,8
46.6960615,9.6027351,Graubünden,6
46.8739775,7.5631943,Bern,1
46.6789116,7.1027113,Fribourg,1
46.6356963,6.5320717,Vaud,1
47.412396,8.1948321,Aargau,1
47.4839723,7.7347783,Basel Country,1
47.3723941,8.5423328,Zurich,3
46.2303063,7.6605757,Valais,2
