Titel,Cases,Deaths
Aargau,1112,34
Appenzell Ausserrhoden,96,3
Appenzell Innerrhoden,25,0
Bern,1779,90
Basel City,951,50
Basel Country,828,32
Fribourg,1092,79
Geneva,4927,248
Glarus,122,11
Graubünden,813,45
Jura,198,7
Lucerne,704,17
Neuchâtel,686,74
Nidwalden,113,3
Obwalden,78,0
St. Gallen,788,33
Schaffhausen,75,6
Schwyz,304,21
Solothurn,392,15
Ticino,3225,323
Thurgau,367,17
Uri,89,6
Valais,1881,140
Vaud,5284,377
Zurich,3489,123
Zug,189,8
