Titel,Cases,Deaths
Aargau,319,2
Appenzell Ausserrhoden,34,2
Appenzell Innerrhoden,8,0
Bern,624,6
Basel City,466,8
Basel Country,341,5
Fribourg,219,4
Geneva,1604,15
Glarus,40,0
Graubünden,322,6
Jura,78,0
Lucerne,228,1
Neuchâtel,256,2
Nidwalden,44,0
Obwalden,25,0
St. Gallen,228,1
Schaffhausen,34,0
Schwyz,99,0
Solothurn,129,1
Ticino,1354,60
Thurgau,96,1
Uri,31,0
Valais,651,14
Vaud,2234,21
Zurich,1363,7
Zug,80,0
