Titel,Cases,Deaths
Aargau,592,12
Appenzell Ausserrhoden,64,3
Appenzell Innerrhoden,19,0
Bern,909,20
Basel City,718,19
Basel Country,610,12
Fribourg,550,26
Geneva,2702,59
Glarus,58,2
Graubünden,569,23
Jura,144,0
Lucerne,422,7
Neuchâtel,366,11
Nidwalden,76,0
Obwalden,51,0
St. Gallen,455,8
Schaffhausen,44,1
Schwyz,155,4
Solothurn,227,3
Ticino,2271,141
Thurgau,179,4
Uri,59,1
Valais,1218,40
Vaud,3639,92
Zurich,2323,36
Zug,131,1
