Titel,Cases,Deaths
Aargau,943,23
Appenzell Ausserrhoden,79,3
Appenzell Innerrhoden,24,0
Bern,1515,55
Basel City,917,37
Basel Country,781,25
Fribourg,907,65
Geneva,4486,178
Glarus,106,3
Graubünden,746,38
Jura,189,2
Lucerne,599,13
Neuchâtel,615,48
Nidwalden,106,2
Obwalden,65,0
St. Gallen,680,25
Schaffhausen,60,1
Schwyz,265,14
Solothurn,343,8
Ticino,2953,269
Thurgau,308,11
Uri,78,5
Valais,1707,94
Vaud,4794,266
Zurich,3151,90
Zug,171,6
