Titel,Cases,Deaths
Switzerland,3028,0
Aargau,101,0
Appenzell Ausserrhoden,10,0
Appenzell Innerrhoden,3,0
Bern,193,1
Basel City,207,4
Basel Country,116,2
Fribourg,67,0
Geneva,382,3
Glarus,10,0
Graubünden,95,1
Jura,25,0
Lucerne,48,0
Neuchâtel,99,1
Nidwalden,12,0
Obwalden,8,0
St. Gallen,61,0
Schaffhausen,6,0
Schwyz,29,0
Solothurn,31,0
Ticino,511,8
Thurgau,32,0
Uri,2,0
Valais,129,3
Vaud,721,3
Zurich,424,1
Zug,17,0
