Titel,Cases,Deaths
Aargau,960,24
Appenzell Ausserrhoden,82,3
Appenzell Innerrhoden,24,0
Bern,1553,67
Basel City,923,37
Basel Country,794,25
Fribourg,930,67
Geneva,4611,187
Glarus,108,3
Graubünden,752,39
Jura,191,2
Lucerne,607,14
Neuchâtel,636,50
Nidwalden,107,2
Obwalden,66,0
St. Gallen,683,27
Schaffhausen,60,1
Schwyz,266,14
Solothurn,350,9
Ticino,2977,270
Thurgau,321,12
Uri,78,5
Valais,1730,96
Vaud,4880,291
Zurich,3172,97
Zug,172,6
