Titel,Cases,Deaths
Aargau,549,11
Appenzell Ausserrhoden,61,3
Appenzell Innerrhoden,14,0
Bern,909,20
Basel City,691,18
Basel Country,588,11
Fribourg,525,23
Geneva,2702,59
Glarus,56,2
Graubünden,521,21
Jura,144,0
Lucerne,401,7
Neuchâtel,366,11
Nidwalden,70,0
Obwalden,48,0
St. Gallen,414,7
Schaffhausen,44,1
Schwyz,146,4
Solothurn,216,3
Ticino,2195,132
Thurgau,166,4
Uri,59,0
Valais,1145,37
Vaud,3465,84
Zurich,2148,29
Zug,125,1
