Titel,Cases,Deaths
Aargau,727,13
Appenzell Ausserrhoden,69,3
Appenzell Innerrhoden,21,0
Bern,1173,31
Basel City,803,26
Basel Country,682,19
Fribourg,669,40
Geneva,3439,92
Glarus,63,2
Graubünden,646,30
Jura,160,0
Lucerne,497,9
Neuchâtel,433,24
Nidwalden,86,0
Obwalden,60,0
St. Gallen,532,11
Schaffhausen,49,1
Schwyz,178,6
Solothurn,261,3
Ticino,2546,189
Thurgau,219,7
Uri,67,2
Valais,1400,56
Vaud,4115,147
Zurich,2590,48
Zug,152,3
