Titel,Cases,Deaths
Aargau,481,8
Appenzell Ausserrhoden,50,2
Appenzell Innerrhoden,14,0
Bern,826,13
Basel City,628,16
Basel Country,561,10
Fribourg,491,20
Geneva,2375,42
Glarus,53,2
Graubünden,513,19
Jura,122,0
Lucerne,375,7
Neuchâtel,357,6
Nidwalden,63,0
Obwalden,46,0
St. Gallen,394,7
Schaffhausen,42,0
Schwyz,141,4
Solothurn,196,2
Ticino,2091,120
Thurgau,154,3
Uri,57,0
Valais,1000,26
Vaud,3168,66
Zurich,1874,21
Zug,114,1
