Titel,Cases,Deaths
Aargau,1135,36
Appenzell Ausserrhoden,97,3
Appenzell Innerrhoden,25,0
Bern,1798,90
Basel City,959,50
Basel Country,829,32
Fribourg,1104,80
Geneva,4949,253
Glarus,122,12
Graubünden,817,45
Jura,199,7
Lucerne,706,18
Neuchâtel,689,76
Nidwalden,113,3
Obwalden,79,0
St. Gallen,793,33
Schaffhausen,75,6
Schwyz,305,22
Solothurn,402,15
Ticino,3239,329
Thurgau,373,17
Uri,91,7
Valais,1893,144
Vaud,5329,385
Zurich,3509,124
Zug,191,8
